t,Re<C_aa>,Im<C_aa>,|C_aa|,|C_aa|^2,Re<C_ab>,Im<C_ab>,|C_ab|,|C_ab|^2
806.4,0.01983811,-0.0540391704,0.0575654632,0.00331378255,-0.00551780515,-0.00304399135,0.00630175031,3.9712057e-05
810,-0.0235946312,-0.00341858083,0.0238410007,0.000568393315,-0.00554012778,0.00584176609,0.00805104011,6.48192468e-05
813.6,0.0258606012,0.00234935922,0.0259670981,0.000674290184,0.00361866051,0.00542271401,0.00651924314,4.25005312e-05
817.2,-0.00177526506,-0.054982834,0.0550114861,0.0030262636,0.00462981847,-0.00172726644,0.00494152491,2.44186684e-05
820.8,-0.0687034046,-0.00247347389,0.0687479155,0.00472627588,-0.00243343634,-0.00217892591,0.00326639412,1.06693306e-05
824.4,0.00521041099,0.071674528,0.071863665,0.00516438634,-0.00164614331,0.00349200257,0.00386055304,1.49038697e-05
828,0.0892483195,-0.02475422,0.0926176761,0.00857803393,0.00458526622,0.004566591,0.00647135377,4.18784197e-05
831.6,-0.0300248714,-0.126267584,0.129788272,0.0168449956,0.00534753995,-0.00342370811,0.00634964257,4.03179608e-05
835.2,-0.159133545,0.0106801067,0.159491536,0.02543755,-0.000421449926,-0.00471806079,0.00473684681,2.24377177e-05
838.8,-0.0195270627,0.172958893,0.174057705,0.0302960847,-0.00221423074,0.000426170382,0.00225487006,5.08443897e-06
842.4,0.168762604,0.0475484112,0.17533302,0.030741668,0.00167370726,-0.00100131254,0.00195036479,3.8039228e-06
846,0.0648315392,-0.15144962,0.164742575,0.0271401159,-0.000166754741,-0.00361663572,0.00362047802,1.31078611e-05
849.6,-0.130287261,-0.0691369561,0.147494708,0.021754689,-0.00443348695,-0.00136836205,0.00463985142,2.15282212e-05
853.2,-0.0662739263,0.111646117,0.129834852,0.0168570887,-0.00166783796,0.00218521093,0.00274896894,7.55683026e-06
856.8,0.0941669993,0.0634659224,0.113557682,0.0128953471,0.00143415888,0.000750855287,0.0016188253,2.62059534e-06
860.4,0.062212611,-0.0689520436,0.0928697652,0.00862479329,-0.00177313009,-0.00267731877,0.00321123436,1.03120261e-05
864,-0.0320949672,-0.0488307695,0.0584339881,0.00341453097,-0.00468632238,0.00260662652,0.00536247324,2.87561193e-05
867.6,-0.0129270685,0.00362203004,0.0134249098,0.000180228203,0.000831169765,0.00690451423,0.00695436265,4.83631599e-05
871.2,0.00286863837,-0.0259450103,0.0261031156,0.000681372643,0.00639822473,0.000867943637,0.0064568263,4.16906059e-05
874.8,-0.0447011483,-0.0176265032,0.0480508717,0.00230888627,0.00127477085,-0.00400847885,0.00420629806,1.76929434e-05
878.4,-0.0279037695,0.0481379383,0.0556406457,0.00309588145,-0.00322955677,-0.000285909961,0.00324218775,1.05117814e-05
882,0.0515415365,0.0302889138,0.0597825081,0.00357394828,0.00169790376,0.00374166431,0.00410888416,1.6882929e-05
885.6,0.0317776366,-0.0633246749,0.0708507773,0.00501983265,0.00557167232,-0.00147869927,0.0057645541,3.32300839e-05
889.2,-0.082237385,-0.041849823,0.0922734804,0.00851439518,0.000332801211,-0.00699955589,0.00700746312,4.91045393e-05
892.8,-0.0641385837,0.0997358846,0.118579107,0.0140610046,-0.00466088833,-0.00116140562,0.00480340952,2.3072743e-05
896.4,0.107725421,0.0948946275,0.143560986,0.0206097567,-0.00065552377,0.00218905387,0.00228509699,5.22166824e-06
900,0.124846027,-0.100239479,0.160107725,0.0256344837,0.00144182863,-0.00193986451,0.0024170114,5.84194412e-06
903.6,-0.0822835076,-0.140305322,0.162653494,0.0264561591,-0.0037730203,-0.00176696849,0.00416627649,1.73578598e-05
907.2,-0.141130684,0.0703481574,0.157691893,0.0248667332,-0.00385956222,0.00305057052,0.00491957325,2.4202201e-05
910.8,0.0662856351,0.142964711,0.157583927,0.0248326941,0.00194478173,0.00378139133,0.00425218724,1.80810963e-05
914.4,0.147219389,-0.0555863837,0.157363892,0.0247633946,0.00202708491,-0.00166930145,0.00262595518,6.89564059e-06
918,-0.0363900578,-0.139615083,0.144279617,0.0208166078,-0.00319626258,-0.00133486242,0.00346380602,1.19979521e-05
921.6,-0.114481289,0.0221229148,0.116599266,0.0135953889,-0.00119482904,0.00552058925,0.00564840881,3.19045221e-05
